psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,mar,4-Mar,meet,rel1,intdatea,intdateb,intdatec,intdated,intdatee,celldatea,celldateb,breaka,breakb,date1a,date3a,date3b,date9a,date9b,date9c,date9d,rel5,rel6,q13a,q13b,q13c,age,educ2,emplnw,hisp,race,inc,lgbt
200234,2,1,12,12035,3,R, ,2,2,4, , ,1,2,2,2,2,2,2,1,1, , , ,2,1,2,7,2,2,2,2,2,2, ,5,2, , ,1,2, , , , , , , ,2,1,2,1,1,2,8, , ,2,2,2,68,4,3,2,1,99,1
200239,2,2,28,28081,3,R, ,2,1,4, , ,2,2, , , , , , , , , , ,2,1,2,98,2,2,2,2,2,1, ,4,1,2, , , , , , ,2,2,2,2, ,2,2,2,1,2,1, , ,2,2,2,59,2,1,1,5,98,1
200245,2,1,51,51109,3,S, ,2,1,3, , ,2,2, , , , , , , , , , ,2,1,2,12,2,2,2,2,2,1, ,1, , ,2, , , , , , , , , , ,1,2,2,1,1,1, ,3,2,1,2,56,4,1,2,1,6,1
200248,2,1,51,51059,3,S, ,2,1,1, , ,1,2,2,2,1,2,2,1,2, , , ,2,1,2,2,1,2,2,2,2,1,2,1, , ,2,2,2, , , , , , , ,2,1,1,1,1,2,1,1,3,2,2,2,54,8,1,2,1,8,1
200253,2,1,17,17031,2,U, ,2,2,5, , ,1,1,2,1,2,2,2,1,2, ,2, ,2,1,8,3,2,2,1,2,1,1,1,2, , ,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,33,3,7,2,2,1,1
200257,2,1,39,39153,2,S, ,1,1,3,1,1, ,1,1,1,1,2,2,2,2,1, , ,1,1,1,1,1,1,1,2,1,1,2,6, , ,2,1,2, , , , , , , ,2,2,2,1,1,9,1,1,3,2,1,2,47,3,5,2,1,8,1
200261,2,1,51,51810,3,U, ,1,1,5,1,1, ,2,2,2,2,2,2,1,2, , , ,2,1,1,3,2,2,2,2,2,1, ,3,8, , ,2,2, , , , , , , ,2,1,1,8,8,1,1, , ,2,2,2,46,3,1,2,1,3,1
200262,2,1,5,05031,3,S, ,2,2,1, , ,1,1,2,1,2,2,2,2,2, ,2, ,2,1,2,2,2,2,2,2,2,1, ,6,2, , ,2,1, , , , , , , ,2,2,2,1,2,2,2, , ,2,2,2,32,4,1,2,2,2,1
200265,2,1,18,18127,2,S, ,1,2,3,2,2, ,1,2,2,2,2,2,2,2, , , ,2,1,2,8,2,2,2,2,2,1, ,5,2, , ,2,2, , , , , , , ,2,2,2,2,2,1,8, , ,2,2,2,73,2,2,2,1,99,1
200268,2,1,8,08041,4,U, ,1,2,4,1,1, ,2,1,2,2,2,2,2,2, , , ,2,1,2,7,2,2,2,2,2,1, ,9,9, , ,2,2, , , , , , , ,2,2,2,2,2,1,1, , ,2,2,2,66,99,1,2,9,99,9
